,lignite,coal,oil,CCGT,OCGT,biomass,ror,offwind-ac,offwind-dc,onwind,solar
2020,4426.777216795118,3866.0418575758295,0.0038170215882032356,324.2605380900116,0.0038747248862758495,7808.901735686996,6977.098728072896,2989.230925862873,3878.9470995697375,2356.1877601019432,1229.4239639158952
2021,3916.3280322147125,3628.2762519725698,0.0018427598921247302,381.19966724293874,0.0019105423475818807,7413.911850030938,6977.097378830161,2819.4416608957804,3659.152536822332,2344.823437290566,1231.8632028972386
2022,4319.638424165338,3635.633994415684,0.0020253557488704955,468.24433290102735,0.013189359994624155,7180.422636910542,6977.094942092487,2630.696150690097,3457.777821144635,2337.115040806874,1232.0833776955387
2023,4423.7278149126005,3787.0162576494236,0.0022475953292720157,605.1169853905479,3.119407959021422,7084.581318461493,6977.095779131144,2562.5461532500776,3386.1967496828124,2333.4867857187455,1232.4574360659406
2024,4526.329291670096,3959.773202809497,0.0022700839344659794,759.9796789625161,19.392527649492944,6982.120587924673,6977.084943558153,2495.1077140109724,3309.4074591489816,2325.8082701666544,1233.2449695689497
2025,4629.0285233017485,4068.9602033570186,1.6130361115496579,951.0852262631679,51.82793550066102,6850.591270266379,6977.083123400081,2409.34275220933,3231.364941072087,2313.444289885934,1233.9745247823241
2026,4794.140417482283,3860.184059898544,3.8540141935805368,1255.6771203175226,168.76010678659384,6679.525268372377,6977.078910233352,2336.2702266804445,3134.3937500465604,2289.419857419965,1234.7213791488102
2027,4874.179711282517,4343.404776190488,3.3647785938057266,1486.2952972266853,203.75959497179863,6557.385172189021,6977.069509993625,2266.920332597348,3042.3392507216518,2278.45649525816,1235.2067039100389
2028,4904.091602017862,4404.838783711039,3.1903146326757392,1707.4488633794895,250.6812024008612,6414.405935616832,6977.081517037796,2173.26156936673,2938.7589246786715,2255.3727970434006,1235.611521890703
2029,5009.9444395469445,4383.511808761569,4.165191849411724,2049.7460116143734,240.78780367433674,6310.463919735175,6977.080207986187,2114.453269059074,2861.2185531086175,2232.4928592572232,1236.083673827674
2030,5353.024592382397,4383.502811859512,5.4118912744072905,2161.7077464818626,236.58653244041705,6195.2781333762905,6977.054357596425,2039.3599572294565,2775.227735299673,2207.8208121267753,1236.6383361601172
2031,5322.8179953484505,4144.7618799304555,6.349228720837734,2375.9753163045802,247.6265587223295,6063.301337542042,6977.042128031842,1956.9771046226983,2691.672970594736,2183.8866844711083,1237.4584077665845
2032,5320.272499998023,4333.431207079469,6.874552099817842,2487.5713278818343,248.76779714126337,5963.862635819896,6977.050904973351,1898.678535340864,2624.8325834259535,2166.2074835432554,1238.5934509239025
2033,5148.0395464919475,4748.220258537285,6.876169866061905,2414.905441857833,257.6019451314801,5850.033902030647,6977.052984031379,1838.3565701717814,2549.5582237458543,2155.677705366425,1240.7018995782955
2034,5206.849825592775,4606.667077738483,4.879484010619897,2457.8856925459627,267.8292571953079,5734.267469645789,6977.043632744055,1795.5717149037919,2496.1488324725915,2145.7944775927135,1240.4848467927318
2035,5203.959143247,4392.409551147166,3.9345298065311685,2546.2449039722105,297.6693629909179,5628.014763840399,6977.041263453124,1753.5267749042846,2440.645017203037,2135.2529852019647,1239.5925917473708
2036,,,3.558650163187383,3160.591553787046,343.9219108986782,5469.561604270345,6977.0293337816365,1670.8928547261942,2321.592822090003,2107.7468478439173,1238.3841359257585
2037,,,3.4008803447447997,2823.724226282459,344.55786025026003,5411.502885605195,6977.013310023438,1627.5098798395086,2274.3217934568547,2098.9095310044604,1237.4686563267737
2038,,,3.410681297965134,2812.480677279222,353.06193116407826,5374.560004588663,6977.006840059327,1589.2433632966079,2247.260416332995,2087.6528802814487,1235.6828943891094
2039,,,2.9265886497965568,2803.492321325742,365.7297250814459,5318.19892592349,6976.986673110075,1518.5913813987775,2174.7040709826115,2068.82645174255,1233.634302285414
2040,,,2.0394604464718147,2800.295844221919,382.1298784136058,5260.830920447199,6976.374183233838,1352.9610367641505,2095.4905435513174,2033.0561725562557,1231.6708337500115
2041,,,0.0021469780065419626,2774.7729324576694,374.93472040320296,5183.495377486006,6976.935791335871,1344.7449598762016,2069.9447868309976,2022.4086415666861,1229.100867553593
2042,,,0.001976286297336294,2645.5213718892987,310.60395293484515,5110.099834086694,6976.4106000460915,1298.012246543039,2088.174274406421,2034.4676437128717,1227.8393887700402
2043,,,0.0017341978417333489,1923.5440388970876,75.25177417200383,4707.206287234488,6976.105195353127,1328.41861091854,2153.0869106092928,2072.167433157423,1222.492411422409
2044,,,0.000951862749992124,1002.3587138296392,0.00032538807133047014,3953.0571928247227,6975.417626286349,1697.4987145226237,2164.2662255531636,2154.692184031411,1226.5246617724154
2045,0.0,0.0,0.0,0.0,0.0,1257.977560843048,6909.2112706176085,940.8174266372018,1325.8669399203873,1907.3992587224348,1233.9799421790597
2046,0.0,0.0,0.0,0.0,0.0,350.91254248844575,6971.327832799113,455.19939350277576,640.5111357416739,1456.1881157873624,1229.0723060236808
2047,0.0,0.0,0.0,0.0,0.0,362.8401704610144,6977.018785970672,444.5264960805833,582.614375184883,1419.054372584187,1228.918027768748
2048,0.0,0.0,0.0,0.0,0.0,371.23316554514383,6977.0525872618155,440.43545539806945,583.6486608399512,1422.227686040699,1228.8661823296443
2049,0.0,0.0,0.0,0.0,0.0,379.4917347876438,6977.058729574574,439.00245296096654,591.1117517597802,1429.287765698621,1228.5534994809025
2050,0.0,0.0,0.0,0.0,0.0,384.4912489514774,6977.0719120627955,435.75728262096135,597.5714173752143,1429.5333052542871,1228.54238479076
