,H2,battery
2020,1.87331616818211e-05,5.886919204971832e-05
2021,2.1635712742004107e-05,7.198739323392042e-05
2022,2.4385218276910335e-05,8.122073165237043e-05
2023,3.359487574648773e-05,0.000115698830884279
2024,4.1900656467283e-05,0.0001468923915764538
2025,4.785209915820433e-05,0.00017455470241864083
2026,6.184744084212347e-05,0.00022959804221356467
2027,7.550548389367718e-05,0.00030890062452590704
2028,9.548178599045648e-05,0.00042154719652502654
2029,0.00011503521657188687,0.000537669709071262
2030,0.0001355432019018256,0.0007128378673645145
2031,0.00016584000200251547,0.0010565695014258995
2032,0.00020881256558879333,0.5568403103610301
2033,0.00025479518698069654,5.177259032686027
2034,0.00029425256696369285,9.327417636161389
2035,0.0003472013957638643,13.461132170430082
2036,0.000463027508032956,18.165241878668716
2037,0.0005480630534849238,19.51574066440872
2038,0.0006074963932239759,21.00153637955985
2039,0.000755666084843263,22.96374677719792
2040,0.0028672265443893757,25.270688662917976
2041,1.8737086336674238,27.95227240090353
2042,5.024556186107768,31.50474888406655
2043,17.964291856909217,41.7265669670277
2044,38.7769111491991,41.335707093232614
2045,36.72052163594318,53.0082983306075
2046,22.849042637125798,69.54772686115915
2047,22.57685363203887,68.34785516522781
2048,23.431574520613893,66.14670971943008
2049,24.37236266696225,63.00515104319496
2050,25.206688272592515,61.12349300522521
