,S129,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S32,S31,S30,S128,S96,S70,S69,S68,S67,S66,S65,S64,S63,S62,S61,S60,S59,S58,S57,S56,S55,S54,S53,S52,S51,S50,S49,S48,S47,S46,S45,S44,S43,S42,S41,S40,S39,S38,S37,S36,S35,S34,S33,S127,S116,S115,S114,S113,S112,S111,S110,S109,S108,S107,S106,S105,S104,S103,S102,S101,S100,S99,S98,S97,S95,S94,S93,S92,S91,S90,S89,S88,S87,S86,S85,S84,S83,S82,S81,S80,S79,S78,S77,S76,S75,S74,S73,S72,S71,S117,S126,S125,S124,S123,S122,S121,S120,S119,S118
2020,0.0092114816325647,0.0053223866246947,0.0039564488107382,0.0073244696052724,0.0063304297133401,0.0062917293773695,0.0064845691641279,0.0074610631801201,0.0050852925402954,0.0060166895108743,0.0060069985921941,0.0068526273433941,0.0079819116239761,0.0076915879310012,0.0073678307475317,0.0051055177212001,0.0100202579339952,0.0074621118868112,0.0090768513753796,0.0079354003929844,0.0088496627038958,0.0078510362331485,0.0065351100769952,0.0063256216317174,0.0082935362776065,0.005372286623653,0.0063581789594355,0.0087469847164385,0.0037524088968328,0.0063546840052027,0.0070713661635193,0.0064310673713016,0.0062230112014598,0.0075405048988831,0.0094489156618412,0.0051055376664271,0.0093802274416268,0.0064803203682094,0.0062318371790512,0.0040863988523642,0.0055510847726337,0.0078881761870631,0.006228446107339,0.0066019707165684,0.0087674364107028,0.0092459549550119,0.0066573558449158,0.0077455891207183,0.0068082688631802,0.0073871762817193,0.0064576902215288,0.0038433666859307,0.0094793374672478,0.0075436961156187,0.0085128049915369,0.0083197291147041,0.0042919116158107,0.0063907072560892,0.0051500284809597,0.0069152944996846,0.0072939751346848,0.0053442610857048,0.0063358899558257,0.0063282688147607,0.0074712141474539,0.0064039461684485,0.0074086408862014,0.0058451527154383,0.0079978708708678,0.004949887204841,0.0044238382514758,0.0040828610223875,0.0029167288602016,0.0108541018283351,0.0134051593741603,0.0071731159024521,0.0044111710122245,0.0057947777020883,0.0072360697616311,0.0025094738950241,0.0013293508371153,0.0061415551668491,0.0065804526748704,0.0074104948128404,0.0075730767729323,0.0056931801550661,0.0049188612426519,0.0086137897264141,0.0072443166487033,0.0067379039247304,0.0100905624494383,0.0032734908630763,0.0031545936387506,0.0057051398660786,0.0056650542192016,0.005938913279852,0.0172400703153084,0.0074013583281894,0.0048394882490872,0.0068134824163168,0.0070766868779745,0.0113308817149366,0.0067081515371226,0.0093272841018602,0.0101607062966396,0.0078759022637828,0.0105072569565546,0.0088680398499317,0.0058086289552972,0.0081529962136954,0.003853414012506,0.0062651185994005,0.0065074206457205,0.0023753603693284,0.0041165781758734,0.0094768911000829,0.0059220142609087,0.0037306109840287,0.0109490810743752,0.003986661243766,0.0081967701651332,0.0110413918316622,0.0091187214976531,0.0070704648280756,0.0070690655368115,0.0078268638087688,0.005873318598124,0.0044575972918676,0.0055234494198482
2021,0.0004746200094549,0.0005641677822329,0.000497582150006,0.0005007071133669,0.000685980481439,0.0006242537002477,0.0006546048955063,0.0005758195284,0.0005248955242797,0.0006583781155096,0.0005160704331441,0.0005476530790273,0.0006306679792317,0.0006510636068252,0.0005363542588275,0.0006794584469241,0.000690289215971,0.0007066195349439,0.0005937896863635,0.0006651539686379,0.0006290994703154,0.0005845846507456,0.0005665969403385,0.0006055365069989,0.0006587109240896,0.0006070753610863,0.0005679555360532,0.000557673585952,0.0007012528161595,0.0005345804937883,0.0005443214645255,0.0003990224049601,0.0002896280002493,0.0005028868367717,0.0005950939496758,0.0004800831731112,0.0005222162279703,0.0006249174806947,0.0006527812583099,0.0005443821929421,0.0005106022870662,0.0006299988595871,0.0005873151765016,0.000618089583072,0.0006751533608498,0.0005489876035285,0.0005396831667725,0.0005762615023758,0.000540892688946,0.0004024836710727,0.0006934669585644,0.0006548011920224,0.000599212580361,0.0006566377610497,0.000435399172713,0.000747039373202,0.0007149439844267,0.0006618807765275,0.0004650551930033,0.0006138647767365,0.0005892690663763,0.0006829298104584,0.0006313048220273,0.0005184201497912,0.0005617062625552,0.0005086066851335,0.0005807595458427,0.0006707528012066,0.0006673762602069,0.0005106066746945,0.0006853144262971,0.0005618227755604,0.0006555872613198,0.0006222644596304,0.0007172037568085,0.0004581903293614,0.0006421663895144,0.0007450637803642,0.0006531387088188,0.0005829598383243,0.0004876017513865,0.0003966321087004,0.0006019463459516,0.0005184146516275,0.0006074368431613,0.0006650524231394,0.0005003173080958,0.0005522458873722,0.0005026712581229,0.0006266516575229,0.0004774845911576,0.0006569072669095,0.0006361969013041,0.0005593675130483,0.0006221277297766,0.0005719862598524,0.0005008910581057,0.0007203958432646,0.000557408192547,0.0006090687608822,0.0005441495400891,0.0006423891955916,0.000705431783306,0.0006617238496692,0.0004852866268593,0.0006801268393291,0.0006442931031687,0.0005349828524118,0.0006994858671134,0.0004983842486441,0.0005699568101506,0.0006298555891598,0.0006173372122859,0.0004971123026365,0.0006829745593285,0.0005968624353255,0.0005966699007402,0.0006519941844566,0.0005672493493916,0.0006685695659983,0.000596783885686,0.0006422005132531,0.0005502515190918,0.0006022371487024,0.0005786170292718,0.0005613642731827,0.0005219845955506,0.0005843182676045,0.0006872595157036
2022,0.0005594098791004,0.0004849138589845,0.0006745682148674,0.00051586978477,0.000527226961591,0.0004737039522767,0.000555527223849,0.0005912927256005,0.000518436714148,0.0005852656455265,0.0004745531502891,0.0006301252040862,0.0006003897847223,0.000576568846773,0.0005870159454577,0.0005239468993134,0.0005449796389611,0.0006636783703381,0.000633305797578,0.0006211480486935,0.0005805042179974,0.0006871895792939,0.0006586941174795,0.0006037094793908,0.0005190602659431,0.0005823496382364,0.0005528218974791,0.0005310031713928,0.0006065527057669,0.0006595543289652,0.0005187121863444,0.0005845070977206,0.0005712306354622,0.0006008919869609,0.0004895469382021,0.0005480103154336,0.0006269464157886,0.0005755618414589,0.0006195049479906,0.0006550433619568,0.0006388044733283,0.0006404794785141,0.000644086266282,0.0005445290819527,0.000572770327407,0.0006203364490976,0.0006375454526347,0.0006381596567593,0.0005726508978343,0.0005185064687987,0.0005866787344508,0.000633039569258,0.0006014138954165,0.000642046879673,0.0005624162667866,0.0006644945826223,0.000575353105538,0.0005496657889782,0.0005998225890597,0.0006234317553358,0.0005748423998106,0.0006591296485393,0.00063057396465,0.0005062340537342,0.0006200799493756,0.0005492566270781,0.0005938879563447,0.0005290434122062,0.0007599312675719,0.00068655623547,0.000626186526699,0.0005567134175774,0.0006402769372903,0.000507082370592,0.0006441395802034,0.0006906888031181,0.0005316855369578,0.0004935920654159,0.0006038567441969,0.000635447982999,0.0005481045939883,0.0005836890078787,0.0005693409469983,0.0006387818273174,0.0006343194235534,0.0006302452220152,0.0004873700586308,0.0005880417601649,0.0005707827857809,0.0006027549672633,0.0005684056079299,0.000469365728624,0.0005739040984051,0.0005528370209268,0.0006379454088752,0.0004827580400317,0.0007351952534485,0.0006496654738927,0.0006670784472718,0.0005637343592755,0.0005495028924851,0.0005360847428527,0.0006314653909465,0.000526996000645,0.0006105167508001,0.0005389858309419,0.0005528911253593,0.0006611905224959,0.0005268363442622,0.0006320927461868,0.0004590624885227,0.000635248403306,0.0007287768423509,0.0005717831931036,0.0006931349545222,0.000665054321625,0.0005604207835188,0.000555774050896,0.000406652157529,0.0006339212046105,0.0006145334126707,0.0006466596119373,0.0005761198482535,0.0006821821244767,0.0006118787688201,0.0005973527888817,0.0005794630057861,0.000591479202784,0.0006494066689836
2023,0.0006052808561127,0.0004693385560585,0.0002787003902953,0.0005714869659649,0.0005460941110928,0.000333583047373,0.0005310207943153,0.0004043606188994,0.0004959029534315,0.0003050972969809,0.0003496752884998,0.0005123422174198,0.0005777639632344,0.0004375166602581,0.0004589788317035,0.000599429477194,0.0005974359542939,0.0004848821279405,0.0004768981398742,0.0005358822667077,0.000587963245512,0.0005060317038041,0.0006006958609107,0.0005397890492731,0.0005291961553817,0.0006519429518424,0.0005237647788213,0.0005618390425368,0.0005555310093072,0.0004545951864495,0.0006006645904645,0.0005271876387917,0.0004244354859668,0.0005600214064882,0.0004444364703283,0.0005434215391099,0.0003278327730284,0.0047930299270785,0.0006335781286606,0.0004260150305836,0.0004481774490768,0.0005163551272948,0.0005884495247416,0.0003698631203162,0.0005296075991856,0.0004484788698716,0.0006246524764788,0.000628157354869,0.0004891464736784,0.00047244538024,0.000601246833154,0.0005422020852011,0.0005104207787053,0.0004241708379728,0.0004853190796541,0.000455449627759,0.0004510616394343,0.0006053814526938,0.0005800466831591,0.000646503271291,0.0005322519411204,0.0005775819305587,0.0003596897533842,0.000538539197801,0.0005092330858688,0.000494470462011,0.0004545362379414,0.000516302292235,0.0004252053181525,0.0005883504023012,0.0005751414644374,0.0005445867849504,0.0005359727922297,0.000501881473981,0.0006074408857431,0.0005570362437648,0.0005566607883187,0.0004825946638586,0.0004674310839563,0.0004323115655598,0.0005666619903663,0.0004661282810269,0.0005342241197605,0.0005324599070103,0.0003923802886657,0.0004182511909631,0.0031360311567697,0.0005833072920372,0.0005107693221694,0.0005549873281295,0.0004832950352894,0.0005708995632343,0.0028259849218296,0.0004249221078209,0.0005373616830579,0.0005611900490773,0.0005940380675223,0.000570610918003,0.0005434855252679,0.0005384024815673,0.0005426984216892,0.0003938830509121,0.0005147084444903,0.0005525594077825,0.0005451950912162,0.0005621330564231,0.0006142753968029,0.000604252806396,0.0002476098265858,0.0003546176262669,0.000542429614239,0.0004641710907771,0.0004563394865875,0.0004352566468328,0.0004621761477116,0.0050664153672174,0.0004243404697956,0.0004526243036851,0.0004759908628448,0.0005473536505875,0.0005456640515308,0.0004267935184695,0.0006048542426761,0.0004300100512645,0.0005678246081613,0.0004061670589575,0.0006122006420382,0.0004786390499608,0.0004658235932599
2024,0.0006250573541246,0.0006126998097744,0.0005512883884877,0.0005479500582735,0.000657624897743,0.0005008354778065,0.0006866115176848,0.0004897898239521,0.0005604542788657,0.0006744184536084,0.0004705078881551,0.0005826333408182,0.0006805634236468,0.0005842846822981,0.0006134162173744,0.000502793046647,0.0005434278025925,0.0006211487745408,0.0004790970451356,0.0005622832592712,0.0005787048339726,0.0005494455221747,0.0005602459710529,0.0004633219603073,0.0006625957277564,0.0004353266255061,0.0005363580299849,0.0006200076124674,0.0005179177969645,0.0006601572824053,0.0006153271259445,0.0005956057061012,0.0003786847544018,0.0006099991884367,0.0005017188147706,0.0005479708191594,0.000551679301011,0.0005740016202893,0.0005682449633848,0.0005157494663699,0.0006479014563385,0.0005769246343876,0.0005922305758834,0.0005237308862557,0.0004738670258966,0.000474875830438,0.0005233162814792,0.0005133783857632,0.0006057000404917,0.0004184625683399,0.0005678231437688,0.0004699706672087,0.0004975806625982,0.0004948168025231,0.0004943561849292,0.000634709785541,0.0006474276773176,0.0005824137650209,0.000642449953802,0.0005237543544621,0.0005103454879958,0.0005503000924477,0.0005085031735289,0.0005845467541566,0.0005796778734116,0.000569594851017,0.0005747462750678,0.000538594724422,0.0004710324557718,0.0005338361118561,0.0005838672926813,0.000601970276641,0.0005503491502613,0.000536238918381,0.0004704413284653,0.0003227257330239,0.0004419474137556,0.0005228759644266,0.000559307373882,0.0005606493469208,0.0005206489280181,0.0005690985884888,0.0005642303514581,0.0005851826009031,0.0004473964134367,0.0005208744829864,0.0005821625121127,0.000615840211004,0.0005399066057457,0.0005094063448031,0.000509070100049,0.0006939070603648,0.0004764620789203,0.000577637557389,0.0003362863086641,0.0004782634407406,0.000570752778144,0.000547081521626,0.0006185701223719,0.0004594620078425,0.0004813935785158,0.0005823520272916,0.0005641561200189,0.0005182740427601,0.0005242326898599,0.0006128507642696,0.0006344443180462,0.0005264269294405,0.0006542227631322,0.0006306270574977,0.0006055276551135,0.0005470219263597,0.0006511558979769,0.0006164823363894,0.000666318627824,0.0005506204294489,0.0006464513734582,0.0005196850320466,0.0004456341087433,0.0006209983203051,0.0004526888495076,0.0006493543834864,0.0005570119017147,0.0005831364419006,0.0006603872233466,0.000365245797267,0.0006020629073686,0.0005309666578156,0.0005882039708158
2025,0.0005975567909914,0.0005311304833481,0.0004443576896269,0.0005806965505306,0.000601510593951,0.0004834160753621,0.0006556722741928,0.0005344880193717,0.0006080491967676,0.0005348523260125,0.0006002814200043,0.0006426571896469,0.0005954981521572,0.0006628691380903,0.0005116359288818,0.0006459535283961,0.0011212482009998,0.0005161637602958,0.0006160097890047,0.0005320105613332,0.0006333394159876,0.0006377600059251,0.0005436164455761,0.0006602473420226,0.0006686191077669,0.000669010030311,0.0006499250985868,0.0006693554339873,0.0006096947561013,0.0005607972656892,0.0005968240281389,0.0006351819601187,0.0004776230342094,0.0006116791034911,0.0005406353204845,0.0005233745003157,0.0006127096850099,0.0005658412071247,0.0005133727058669,0.0004954380354342,0.0006252975270577,0.000647678888654,0.0006413724485051,0.0005932608009415,0.0006103118022454,0.0006104239172397,0.0005899488740714,0.000628757803167,0.0006541458274317,0.0005823518853078,0.0006768133139007,0.0006299060142725,0.0004935228139967,0.0006791794785917,0.000524334647738,0.0005602234699758,0.0006644144881882,0.0006512582764665,0.0006386165713448,0.0005362153581534,0.0005970154539396,0.0005230431244745,0.0005758564482457,0.0005617420930523,0.0005571447372185,0.000546903280953,0.0004884877261379,0.0004986909311715,0.0004866889206956,0.0005599881368092,0.0005686742819571,0.0005252984381159,0.0006686539712478,0.0004545299900273,0.0005351391898373,0.0005972973659506,0.0006054692854609,0.0005738029471216,0.0004970226322849,0.0005352935581686,0.0006169404875647,0.0006127134744301,0.0006376372086138,0.0006042548169118,0.0004844313613965,0.0005790369995163,0.0005177615292322,0.000626040563386,0.0005051015987089,0.0006954029687827,0.0006295152575897,0.0005839020492946,0.0005944260087429,0.0005703381187972,0.00052278280507,0.0005554788594164,0.0006786093903034,0.0006636542473642,0.0006127508962233,0.0005524525632114,0.0005345696411584,0.0005078603760337,0.0005087462704466,0.00046726313231,0.0006566634228374,0.0006662240033073,0.0005787215156799,0.0005784584475398,0.0007058002445531,0.000570840499815,0.0005999212302956,0.0006329100116525,0.0005467812491711,0.0005827478597829,0.0006302626987786,0.000524282334863,0.00070714212346,0.0005331772319166,0.0006012893592409,0.0005108671207945,0.0006179823241657,0.0006002386379936,0.0005593964288042,0.0005665240096478,0.0005614942936545,0.0005891342613842,0.0006149918116984,0.0006284558515589,0.0005498939998622
2026,0.0007376222307911,0.0005788769485755,0.0005831282695218,0.0006483356401863,0.0005934552885505,0.0006932575398855,0.0006758278440069,0.000574531543826,0.0006126457316878,0.000684923255211,0.0006138130636695,0.0006493023363457,0.0005720404508216,0.0006536878467245,0.0006391359046311,0.0006805439500152,0.0007256442137398,0.0006341740455865,0.000720310259766,0.0006185604371805,0.0006344752501826,0.0006494485549506,0.0006285022559165,0.0006021521441573,0.0005960392017351,0.0004503826523661,0.0006489681341238,0.0005643221819565,0.0006085234878288,0.0006244746758484,0.0006401515105715,0.0006010037735254,0.0005203963835338,0.0006216913117458,0.0006632268984158,0.000680020390088,0.000667105443801,0.0006830409843152,0.0005112842530212,0.00053044743436,0.0006063132942197,0.0006917851006104,0.0006952081889353,0.0005614382605064,0.0006874359393411,0.0007019338271632,0.0006195494054667,0.0006418339565769,0.0005783397092409,0.0006432831515992,0.000571942820685,0.000931883931009,0.0009006064333983,0.0006102963458215,0.0006585801707889,0.0006088613289663,0.0005456949076199,0.0005710242951192,0.0006322376638306,0.0005689886135858,0.0026399357542193,0.0052717526727587,0.0049613872192874,0.0004006182594798,0.0005831931312171,0.0006074117970025,0.0006066613635196,0.0005856184112229,0.0006360843427806,0.0006111902782144,0.0006428098893602,0.0006418609635447,0.0007219524173115,0.0007053317353347,0.0005494785317874,0.0006503006905384,0.0006412277500706,0.000578539612058,0.0004547964924597,0.0006736848648533,0.0005915522763843,0.0005527759561992,0.0006283982334814,0.0005701695821316,0.0006554736113964,0.0005944582302249,0.0005552786069214,0.0005706998206913,0.0006781695218731,0.0006941105845756,0.0006198888298781,0.0006049747384025,0.0006192695469854,0.0006241700485389,0.0006383268426926,0.0006254137577043,0.0005545205943648,0.0004568831127821,0.0006077184064779,0.000575088573242,0.0005448850152986,0.0006798176606211,0.0005902296045429,0.0005370802353122,0.000644019788438,0.0006119026546625,0.0006218194080655,0.0006686780602773,0.0006250888170565,0.0007105643880278,0.0005730450885399,0.0006184645679096,0.0006084017587777,0.0006216679465462,0.0006003758964603,0.0007615300753814,0.0006411108408671,0.0006006915737167,0.0006089646427809,0.0005764215120492,0.0006624625800109,0.0006344005075297,0.0006210137714401,0.0005639481955088,0.0006800602141386,0.0006810972636727,0.0005616077066548,0.0006507893710889,0.0006750148636583
2027,0.0007449955482013,0.0003472632615433,0.0006014873469555,0.0006749324485001,0.0005994290991375,0.0006943711151801,0.0005482951705756,0.0006592476413366,0.0006464191689285,0.0004147081354729,0.0006653453698163,0.0014774488792061,0.0006298047497918,0.0004194732069084,0.000537627268694,0.0006179687684413,0.0006003371492688,0.0004906532107629,0.0005825608766062,0.0003540357575436,0.000392368827043,0.000487953516077,0.0006871430867621,0.0005235298844081,0.0006051419351136,0.000523004754343,0.0006053342122722,0.0006266585521358,0.000681565701827,0.0005692271409572,0.0007051981132802,0.0006475831530272,0.0004813765080644,0.0006256607643822,0.0004811086442945,0.0005958114933838,0.000661247143422,0.000613623886031,0.0005402673028145,0.0007117002534413,0.0006157498783431,0.00051712301822,0.0004669183242522,0.0004851397143408,0.0006353644007315,0.0004486419577651,0.0006479481774373,0.0007466662384116,0.0006034255012722,0.0005672695303748,0.0005764528103705,0.0005058157071879,0.0005999492947491,0.0005875169173116,0.0005522112409888,0.0012533110723685,0.000499052765084,0.0005685573004035,0.0005953342084024,0.0005285363647088,0.0006082202800798,0.0005497655904726,0.0006402766629508,0.0005613369091904,0.0006455649481867,0.0006877276383505,0.0006258903881831,0.0005714966687504,0.0005785945292632,0.0006435841982404,0.000510174080986,0.0006240569491019,0.000709886474441,0.000727651200914,0.00044571479283,0.0007834318939361,0.0004822245750288,0.0006249370193881,0.0004701001727538,0.0006191873269671,0.0006744390526306,0.0005316038851118,0.0007593065713767,0.000566055186892,0.0005864297551385,0.0006379776304337,0.0006488746136634,0.0005722930631892,0.0007923223634814,0.0004843194149896,0.0007286791456175,0.000613363198581,0.0005362197383992,0.0005907472862531,0.0004729925933762,0.0004960161864287,0.0003951054786067,0.0004334160187292,0.0006604234660301,0.0005466061253569,0.0005132513859657,0.0006219684086416,0.000648531356267,0.0006198688792767,0.0004800618689992,0.0004600261892068,0.0005262473998852,0.0007679755773971,0.0005139704458164,0.0005494862986808,0.000511836345638,0.0003786201392661,0.0003840020328306,0.0004303562908844,0.0005771715474066,0.0005170124825683,0.0005983257264735,0.0005462333562285,0.0004445093679869,0.0005002381903632,0.0005671161710717,0.0005277626013727,0.0009527521557477,0.0004233627743866,0.0006324474057616,0.0004141871053299,0.0006452649669915,0.0006429965413018,0.0005877264052299
2028,0.000639022772923,0.0005462979542356,0.0005462327629624,0.000639078532018,0.0005641772365014,0.0006063508453943,0.0006697066605995,0.000458671133234,0.0005344512039585,0.0005929876884586,0.0012069378020313,0.00045002967863,0.0005709358225467,0.0004612477769895,0.0005891614351545,0.0004543983404765,0.0005688220305284,0.0006242218486732,0.0005913316010062,0.0005033472871635,0.0006335496226399,0.000528461698843,0.0005062631773734,0.0004707516679838,0.0004930974913808,0.0009662965347495,0.0005908792740026,0.0003343651313795,0.0005227750011298,0.0003476910552067,0.0006487434338769,0.0004761322814943,0.0005950389616387,0.0004862482732093,0.0004896798014252,0.0005961827182701,0.0006557769429593,0.0006144785300672,0.0006672680719692,0.000559566959013,0.0006854357124839,0.0004965671656395,0.0005475759371359,0.0006681194070802,0.0005726079330668,0.0006371074535092,0.0006388477405879,0.0005970979751609,0.0005343268324429,0.0005938797427535,0.0006642887787114,0.0005978201233322,0.0005226108552113,0.0006179671015316,0.000570122984141,0.000665392961511,0.0006216572706722,0.0005906018663291,0.0006911781119699,0.000550406859466,0.0005502392119141,0.000571150167832,0.0005257523741802,0.0006010058755622,0.0029518740876176,0.0004986241073706,0.000785984124976,0.0005530042073259,0.0005116531972987,0.0007680100777354,0.0007049521058228,0.0006220859692443,0.0007361824751115,0.0006100489536691,0.000550788484926,0.0007666578125077,0.0007947998779325,0.0006016166305533,0.0006241955045238,0.0006210991649664,0.0005903325527631,0.0006228025558363,0.0006168328911869,0.0005225716152738,0.0006799136256007,0.0028865859286888,0.0005887223539657,0.0006117314017598,0.0006312634862633,0.000703783591558,0.0045182133091476,0.000546282004711,0.0006295734273864,0.0006462780053488,0.0006346692512986,0.0005121826653551,0.0006508694975331,0.000631002159859,0.0007061459872223,0.0005432864464991,0.0005230010586891,0.000621752043069,0.0006120364410724,0.0005004420622617,0.0032780304047879,0.0005825110084821,0.0006741482830466,0.0006305368471259,0.0004421598872092,0.0006369630866766,0.0004939999125605,0.0006539135459654,0.000644594991733,0.0006984575016403,0.0006006729281405,0.0005163448366458,0.0005496358951125,0.0006067369492297,0.0005385473972728,0.0005508033477106,0.00048493782471,0.0005087440219602,0.0005839762532187,0.0007145989662309,0.0005672112139435,0.000698136265578,0.0006295743191909,0.0006400452041822,0.0007211030195038
2029,0.0005395087239076,0.000656711644143,0.0006253123624679,0.0006543895485471,0.0006866761932309,0.0006973147028504,0.0007557156113146,0.0005553139063673,0.000655941194534,0.0007237668879257,0.0006367274022521,0.0005752896109322,0.0007086124302392,0.0006506981701812,0.00063457941701,0.0006303418005733,0.0007528666759277,0.0006625386982585,0.0006617589652507,0.0006901367071925,0.0007195750227998,0.0006335186434264,0.0005949053963545,0.0007636311115826,0.0006789993058304,0.0004883449986669,0.0005397627952429,0.0006979847823849,0.0006404566656915,0.0005668148396778,0.000643235973856,0.0008341123307322,0.0005352749942719,0.0006103387386448,0.0006309686410398,0.0006575902882986,0.0006976359361622,0.0006132839264776,0.0006247506253892,0.0006684922597442,0.0006244505366983,0.0005842495849164,0.0006531827213921,0.0006002956326961,0.0005280674774185,0.0006374535764374,0.0006831834472516,0.0006790876936937,0.0010366641599001,0.0004573520288827,0.0006224518999012,0.0005242738804543,0.0007050375224231,0.0006456422650585,0.0006904589472572,0.0006268454990521,0.0005767011260295,0.0005142416277091,0.00061786877378,0.0005145048401674,0.0006493793044654,0.000634195216347,0.000545384811142,0.0005986851508893,0.000664420803988,0.0005774959264974,0.000636172934042,0.0005719108243922,0.0006320072717959,0.0006461966475107,0.0006328724007898,0.0006036303442181,0.0007212448044377,0.0006613794732444,0.0005790995936032,0.0006633034729653,0.0006581157157044,0.0006083327139992,0.0007015754031012,0.0006079484212743,0.0005927862247867,0.0005785096284819,0.0006303442816346,0.0006403814556026,0.0004433619706017,0.0009387046190952,0.00046668645228,0.0005313465484613,0.0005337510811953,0.0005222889282137,0.0005421604950587,0.0005875480173165,0.0003752826665691,0.0005966289971072,0.000688654441078,0.0005906246074666,0.0005869606305499,0.0006538871654183,0.0005745246490685,0.0005026080877158,0.0005581390046101,0.0006260287090826,0.0006880363995808,0.0006732100936907,0.0005223816489698,0.0006106665859571,0.0006611435961029,0.0006402830020606,0.0007249367319033,0.0005997799343015,0.0006224687429081,0.0006659185701738,0.0006201515463963,0.0005300039580968,0.0006775473129981,0.0005951587101206,0.0006442411755134,0.0005763344023071,0.0005479123559028,0.0005404795005019,0.0006892152368145,0.0006173729028722,0.0004135006269643,0.0006523510301461,0.0003996374668046,0.0006832472771859,0.000644237549109,0.0006976087487046,0.0007496092864222
